,Date,Variable,Value,Gender
60,2004-12,Ages 25-34,0.168,All
64,2004-12,Ages 35-49,0.155,All
68,2004-12,Ages 50-64,0.342,All
72,2004-12,Ages 65+,0.938,All
76,2004-12,Ages 16-24,0.322,All
240,2005-03,Ages 25-34,0.16699999999999998,All
244,2005-03,Ages 35-49,0.154,All
248,2005-03,Ages 50-64,0.341,All
252,2005-03,Ages 65+,0.937,All
256,2005-03,Ages 16-24,0.322,All
420,2005-06,Ages 25-34,0.16699999999999998,All
424,2005-06,Ages 35-49,0.154,All
428,2005-06,Ages 50-64,0.34,All
432,2005-06,Ages 65+,0.938,All
436,2005-06,Ages 16-24,0.324,All
600,2005-09,Ages 25-34,0.166,All
604,2005-09,Ages 35-49,0.153,All
608,2005-09,Ages 50-64,0.33799999999999997,All
612,2005-09,Ages 65+,0.937,All
616,2005-09,Ages 16-24,0.324,All
780,2005-12,Ages 25-34,0.16699999999999998,All
784,2005-12,Ages 35-49,0.152,All
788,2005-12,Ages 50-64,0.337,All
792,2005-12,Ages 65+,0.937,All
796,2005-12,Ages 16-24,0.326,All
960,2006-03,Ages 25-34,0.16699999999999998,All
964,2006-03,Ages 35-49,0.152,All
968,2006-03,Ages 50-64,0.336,All
972,2006-03,Ages 65+,0.938,All
976,2006-03,Ages 16-24,0.32899999999999996,All
1140,2006-06,Ages 25-34,0.16399999999999998,All
1144,2006-06,Ages 35-49,0.15,All
1148,2006-06,Ages 50-64,0.332,All
1152,2006-06,Ages 65+,0.937,All
1156,2006-06,Ages 16-24,0.332,All
1320,2006-09,Ages 25-34,0.165,All
1324,2006-09,Ages 35-49,0.15,All
1328,2006-09,Ages 50-64,0.33299999999999996,All
1332,2006-09,Ages 65+,0.934,All
1336,2006-09,Ages 16-24,0.331,All
1500,2006-12,Ages 25-34,0.163,All
1504,2006-12,Ages 35-49,0.14800000000000002,All
1508,2006-12,Ages 50-64,0.331,All
1512,2006-12,Ages 65+,0.932,All
1516,2006-12,Ages 16-24,0.33,All
1680,2007-03,Ages 25-34,0.161,All
1684,2007-03,Ages 35-49,0.149,All
1688,2007-03,Ages 50-64,0.332,All
1692,2007-03,Ages 65+,0.932,All
1696,2007-03,Ages 16-24,0.32899999999999996,All
1860,2007-06,Ages 25-34,0.162,All
1864,2007-06,Ages 35-49,0.149,All
1868,2007-06,Ages 50-64,0.332,All
1872,2007-06,Ages 65+,0.9309999999999999,All
1876,2007-06,Ages 16-24,0.326,All
2040,2007-09,Ages 25-34,0.159,All
2044,2007-09,Ages 35-49,0.149,All
2048,2007-09,Ages 50-64,0.331,All
2052,2007-09,Ages 65+,0.932,All
2056,2007-09,Ages 16-24,0.336,All
2220,2007-12,Ages 25-34,0.16,All
2224,2007-12,Ages 35-49,0.15,All
2228,2007-12,Ages 50-64,0.331,All
2232,2007-12,Ages 65+,0.93,All
2236,2007-12,Ages 16-24,0.336,All
2400,2008-03,Ages 25-34,0.159,All
2404,2008-03,Ages 35-49,0.14800000000000002,All
2408,2008-03,Ages 50-64,0.32899999999999996,All
2412,2008-03,Ages 65+,0.929,All
2416,2008-03,Ages 16-24,0.337,All
2580,2008-06,Ages 25-34,0.158,All
2584,2008-06,Ages 35-49,0.14800000000000002,All
2588,2008-06,Ages 50-64,0.32899999999999996,All
2592,2008-06,Ages 65+,0.9279999999999999,All
2596,2008-06,Ages 16-24,0.33799999999999997,All
2760,2008-09,Ages 25-34,0.157,All
2764,2008-09,Ages 35-49,0.14800000000000002,All
2768,2008-09,Ages 50-64,0.32799999999999996,All
2772,2008-09,Ages 65+,0.927,All
2776,2008-09,Ages 16-24,0.33899999999999997,All
2940,2008-12,Ages 25-34,0.157,All
2944,2008-12,Ages 35-49,0.147,All
2948,2008-12,Ages 50-64,0.32799999999999996,All
2952,2008-12,Ages 65+,0.9259999999999999,All
2956,2008-12,Ages 16-24,0.342,All
3120,2009-03,Ages 25-34,0.157,All
3124,2009-03,Ages 35-49,0.146,All
3128,2009-03,Ages 50-64,0.327,All
3132,2009-03,Ages 65+,0.9259999999999999,All
3136,2009-03,Ages 16-24,0.342,All
3300,2009-06,Ages 25-34,0.157,All
3304,2009-06,Ages 35-49,0.145,All
3308,2009-06,Ages 50-64,0.325,All
3312,2009-06,Ages 65+,0.925,All
3316,2009-06,Ages 16-24,0.34700000000000003,All
3480,2009-09,Ages 25-34,0.158,All
3484,2009-09,Ages 35-49,0.14400000000000002,All
3488,2009-09,Ages 50-64,0.324,All
3492,2009-09,Ages 65+,0.924,All
3496,2009-09,Ages 16-24,0.35,All
3660,2009-12,Ages 25-34,0.158,All
3664,2009-12,Ages 35-49,0.14300000000000002,All
3668,2009-12,Ages 50-64,0.324,All
3672,2009-12,Ages 65+,0.922,All
3676,2009-12,Ages 16-24,0.355,All
3840,2010-03,Ages 25-34,0.159,All
3844,2010-03,Ages 35-49,0.14400000000000002,All
3848,2010-03,Ages 50-64,0.324,All
3852,2010-03,Ages 65+,0.9209999999999999,All
3856,2010-03,Ages 16-24,0.36700000000000005,All
4020,2010-06,Ages 25-34,0.159,All
4024,2010-06,Ages 35-49,0.145,All
4028,2010-06,Ages 50-64,0.32299999999999995,All
4032,2010-06,Ages 65+,0.92,All
4036,2010-06,Ages 16-24,0.369,All
4200,2010-09,Ages 25-34,0.158,All
4204,2010-09,Ages 35-49,0.146,All
4208,2010-09,Ages 50-64,0.321,All
4212,2010-09,Ages 65+,0.9179999999999999,All
4216,2010-09,Ages 16-24,0.376,All
4380,2010-12,Ages 25-34,0.159,All
4384,2010-12,Ages 35-49,0.146,All
4388,2010-12,Ages 50-64,0.322,All
4392,2010-12,Ages 65+,0.917,All
4396,2010-12,Ages 16-24,0.379,All
4560,2011-03,Ages 25-34,0.159,All
4564,2011-03,Ages 35-49,0.146,All
4568,2011-03,Ages 50-64,0.32299999999999995,All
4572,2011-03,Ages 65+,0.915,All
4576,2011-03,Ages 16-24,0.377,All
4740,2011-06,Ages 25-34,0.157,All
4744,2011-06,Ages 35-49,0.146,All
4748,2011-06,Ages 50-64,0.324,All
4752,2011-06,Ages 65+,0.915,All
4756,2011-06,Ages 16-24,0.377,All
4920,2011-09,Ages 25-34,0.156,All
4924,2011-09,Ages 35-49,0.14800000000000002,All
4928,2011-09,Ages 50-64,0.326,All
4932,2011-09,Ages 65+,0.914,All
4936,2011-09,Ages 16-24,0.376,All
5100,2011-12,Ages 25-34,0.155,All
5104,2011-12,Ages 35-49,0.147,All
5108,2011-12,Ages 50-64,0.32299999999999995,All
5112,2011-12,Ages 65+,0.914,All
5116,2011-12,Ages 16-24,0.374,All
5280,2012-03,Ages 25-34,0.153,All
5284,2012-03,Ages 35-49,0.14400000000000002,All
5288,2012-03,Ages 50-64,0.32,All
5292,2012-03,Ages 65+,0.9129999999999999,All
5296,2012-03,Ages 16-24,0.376,All
5460,2012-06,Ages 25-34,0.155,All
5464,2012-06,Ages 35-49,0.142,All
5468,2012-06,Ages 50-64,0.317,All
5472,2012-06,Ages 65+,0.912,All
5476,2012-06,Ages 16-24,0.376,All
5640,2012-09,Ages 25-34,0.154,All
5644,2012-09,Ages 35-49,0.139,All
5648,2012-09,Ages 50-64,0.314,All
5652,2012-09,Ages 65+,0.912,All
5656,2012-09,Ages 16-24,0.37799999999999995,All
5820,2012-12,Ages 25-34,0.153,All
5824,2012-12,Ages 35-49,0.139,All
5828,2012-12,Ages 50-64,0.311,All
5832,2012-12,Ages 65+,0.909,All
5836,2012-12,Ages 16-24,0.376,All
6000,2013-03,Ages 25-34,0.152,All
6004,2013-03,Ages 35-49,0.139,All
6008,2013-03,Ages 50-64,0.307,All
6012,2013-03,Ages 65+,0.907,All
6016,2013-03,Ages 16-24,0.37200000000000005,All
6180,2013-06,Ages 25-34,0.15,All
6184,2013-06,Ages 35-49,0.138,All
6188,2013-06,Ages 50-64,0.303,All
6192,2013-06,Ages 65+,0.905,All
6196,2013-06,Ages 16-24,0.376,All
6360,2013-09,Ages 25-34,0.15,All
6364,2013-09,Ages 35-49,0.138,All
6368,2013-09,Ages 50-64,0.299,All
6372,2013-09,Ages 65+,0.902,All
6376,2013-09,Ages 16-24,0.37799999999999995,All
6540,2013-12,Ages 25-34,0.15,All
6544,2013-12,Ages 35-49,0.13699999999999998,All
6548,2013-12,Ages 50-64,0.29600000000000004,All
6552,2013-12,Ages 65+,0.902,All
6556,2013-12,Ages 16-24,0.379,All
6720,2014-03,Ages 25-34,0.149,All
6724,2014-03,Ages 35-49,0.138,All
6728,2014-03,Ages 50-64,0.293,All
6732,2014-03,Ages 65+,0.9,All
6736,2014-03,Ages 16-24,0.384,All
6900,2014-06,Ages 25-34,0.149,All
6904,2014-06,Ages 35-49,0.136,All
6908,2014-06,Ages 50-64,0.292,All
6912,2014-06,Ages 65+,0.899,All
6916,2014-06,Ages 16-24,0.387,All
7080,2014-09,Ages 25-34,0.149,All
7084,2014-09,Ages 35-49,0.134,All
7088,2014-09,Ages 50-64,0.29100000000000004,All
7092,2014-09,Ages 65+,0.898,All
7096,2014-09,Ages 16-24,0.38799999999999996,All
7260,2014-12,Ages 25-34,0.149,All
7264,2014-12,Ages 35-49,0.134,All
7268,2014-12,Ages 50-64,0.29,All
7272,2014-12,Ages 65+,0.898,All
7276,2014-12,Ages 16-24,0.39,All
7440,2015-03,Ages 25-34,0.15,All
7444,2015-03,Ages 35-49,0.134,All
7448,2015-03,Ages 50-64,0.28800000000000003,All
7452,2015-03,Ages 65+,0.8959999999999999,All
7456,2015-03,Ages 16-24,0.386,All
7620,2015-06,Ages 25-34,0.152,All
7624,2015-06,Ages 35-49,0.135,All
7628,2015-06,Ages 50-64,0.285,All
7632,2015-06,Ages 65+,0.8959999999999999,All
7636,2015-06,Ages 16-24,0.381,All
7800,2015-09,Ages 25-34,0.151,All
7804,2015-09,Ages 35-49,0.135,All
7808,2015-09,Ages 50-64,0.28300000000000003,All
7812,2015-09,Ages 65+,0.8959999999999999,All
7816,2015-09,Ages 16-24,0.37799999999999995,All
7980,2015-12,Ages 25-34,0.151,All
7984,2015-12,Ages 35-49,0.135,All
7988,2015-12,Ages 50-64,0.281,All
7992,2015-12,Ages 65+,0.895,All
7996,2015-12,Ages 16-24,0.376,All
8160,2016-03,Ages 25-34,0.14800000000000002,All
8164,2016-03,Ages 35-49,0.136,All
8168,2016-03,Ages 50-64,0.28,All
8172,2016-03,Ages 65+,0.8959999999999999,All
8176,2016-03,Ages 16-24,0.376,All
8340,2016-06,Ages 25-34,0.146,All
8344,2016-06,Ages 35-49,0.138,All
8348,2016-06,Ages 50-64,0.278,All
8352,2016-06,Ages 65+,0.895,All
8356,2016-06,Ages 16-24,0.375,All
8520,2016-09,Ages 25-34,0.146,All
8524,2016-09,Ages 35-49,0.139,All
8528,2016-09,Ages 50-64,0.276,All
8532,2016-09,Ages 65+,0.894,All
8536,2016-09,Ages 16-24,0.381,All
8700,2016-12,Ages 25-34,0.14400000000000002,All
8704,2016-12,Ages 35-49,0.13699999999999998,All
8708,2016-12,Ages 50-64,0.276,All
8712,2016-12,Ages 65+,0.895,All
8716,2016-12,Ages 16-24,0.384,All
8880,2017-03,Ages 25-34,0.14300000000000002,All
8884,2017-03,Ages 35-49,0.136,All
8888,2017-03,Ages 50-64,0.275,All
8892,2017-03,Ages 65+,0.8959999999999999,All
8896,2017-03,Ages 16-24,0.384,All
9060,2017-06,Ages 25-34,0.142,All
9064,2017-06,Ages 35-49,0.133,All
9068,2017-06,Ages 50-64,0.27399999999999997,All
9072,2017-06,Ages 65+,0.8959999999999999,All
9076,2017-06,Ages 16-24,0.389,All
9240,2017-09,Ages 25-34,0.14,All
9244,2017-09,Ages 35-49,0.133,All
9248,2017-09,Ages 50-64,0.272,All
9252,2017-09,Ages 65+,0.8959999999999999,All
9256,2017-09,Ages 16-24,0.39,All
9420,2017-12,Ages 25-34,0.136,All
9424,2017-12,Ages 35-49,0.132,All
9428,2017-12,Ages 50-64,0.27,All
9432,2017-12,Ages 65+,0.8959999999999999,All
9436,2017-12,Ages 16-24,0.386,All
9600,2018-03,Ages 25-34,0.13699999999999998,All
9604,2018-03,Ages 35-49,0.131,All
9608,2018-03,Ages 50-64,0.268,All
9612,2018-03,Ages 65+,0.895,All
9616,2018-03,Ages 16-24,0.387,All
9780,2018-06,Ages 25-34,0.136,All
9784,2018-06,Ages 35-49,0.131,All
9788,2018-06,Ages 50-64,0.26899999999999996,All
9792,2018-06,Ages 65+,0.895,All
9796,2018-06,Ages 16-24,0.38799999999999996,All
9960,2018-09,Ages 25-34,0.136,All
9964,2018-09,Ages 35-49,0.13,All
9968,2018-09,Ages 50-64,0.266,All
9972,2018-09,Ages 65+,0.8959999999999999,All
9976,2018-09,Ages 16-24,0.392,All
10140,2018-12,Ages 25-34,0.136,All
10144,2018-12,Ages 35-49,0.13,All
10148,2018-12,Ages 50-64,0.265,All
10152,2018-12,Ages 65+,0.894,All
10156,2018-12,Ages 16-24,0.39299999999999996,All
10320,2019-03,Ages 25-34,0.134,All
10324,2019-03,Ages 35-49,0.128,All
10328,2019-03,Ages 50-64,0.262,All
10332,2019-03,Ages 65+,0.894,All
10336,2019-03,Ages 16-24,0.39,All
10500,2019-06,Ages 25-34,0.132,All
10504,2019-06,Ages 35-49,0.128,All
10508,2019-06,Ages 50-64,0.259,All
10512,2019-06,Ages 65+,0.892,All
10516,2019-06,Ages 16-24,0.389,All
10680,2019-09,Ages 25-34,0.131,All
10684,2019-09,Ages 35-49,0.13,All
10688,2019-09,Ages 50-64,0.258,All
10692,2019-09,Ages 65+,0.8909999999999999,All
10696,2019-09,Ages 16-24,0.38799999999999996,All
10860,2019-12,Ages 25-34,0.131,All
10864,2019-12,Ages 35-49,0.128,All
10868,2019-12,Ages 50-64,0.257,All
10872,2019-12,Ages 65+,0.8909999999999999,All
10876,2019-12,Ages 16-24,0.39,All
11040,2020-03,Ages 25-34,0.128,All
11044,2020-03,Ages 35-49,0.126,All
11048,2020-03,Ages 50-64,0.256,All
11052,2020-03,Ages 65+,0.888,All
11056,2020-03,Ages 16-24,0.38799999999999996,All
11220,2020-06,Ages 25-34,0.126,All
11224,2020-06,Ages 35-49,0.126,All
11228,2020-06,Ages 50-64,0.258,All
11232,2020-06,Ages 65+,0.8909999999999999,All
11236,2020-06,Ages 16-24,0.387,All
11400,2020-09,Ages 25-34,0.124,All
11404,2020-09,Ages 35-49,0.126,All
11408,2020-09,Ages 50-64,0.261,All
11412,2020-09,Ages 65+,0.8909999999999999,All
11416,2020-09,Ages 16-24,0.39399999999999996,All
11580,2020-12,Ages 25-34,0.12300000000000001,All
11584,2020-12,Ages 35-49,0.126,All
11588,2020-12,Ages 50-64,0.26,All
11592,2020-12,Ages 65+,0.892,All
11596,2020-12,Ages 16-24,0.395,All
11760,2021-03,Ages 25-34,0.122,All
11764,2021-03,Ages 35-49,0.128,All
11768,2021-03,Ages 50-64,0.263,All
11772,2021-03,Ages 65+,0.895,All
11776,2021-03,Ages 16-24,0.406,All
11940,2021-06,Ages 25-34,0.124,All
11944,2021-06,Ages 35-49,0.127,All
11948,2021-06,Ages 50-64,0.264,All
11952,2021-06,Ages 65+,0.895,All
11956,2021-06,Ages 16-24,0.419,All
12120,2021-09,Ages 25-34,0.126,All
12124,2021-09,Ages 35-49,0.12300000000000001,All
12128,2021-09,Ages 50-64,0.265,All
12132,2021-09,Ages 65+,0.895,All
12136,2021-09,Ages 16-24,0.41700000000000004,All
12300,2021-12,Ages 25-34,0.126,All
12304,2021-12,Ages 35-49,0.12300000000000001,All
12308,2021-12,Ages 50-64,0.26899999999999996,All
12312,2021-12,Ages 65+,0.8959999999999999,All
12316,2021-12,Ages 16-24,0.414,All
12480,2022-03,Ages 25-34,0.126,All
12484,2022-03,Ages 35-49,0.12300000000000001,All
12488,2022-03,Ages 50-64,0.27,All
12492,2022-03,Ages 65+,0.894,All
12496,2022-03,Ages 16-24,0.406,All
12660,2022-06,Ages 25-34,0.127,All
12664,2022-06,Ages 35-49,0.122,All
12668,2022-06,Ages 50-64,0.271,All
12672,2022-06,Ages 65+,0.8909999999999999,All
12676,2022-06,Ages 16-24,0.401,All
12840,2022-09,Ages 25-34,0.125,All
12844,2022-09,Ages 35-49,0.12300000000000001,All
12848,2022-09,Ages 50-64,0.275,All
12852,2022-09,Ages 65+,0.8909999999999999,All
12856,2022-09,Ages 16-24,0.402,All
13020,2022-12,Ages 25-34,0.124,All
13024,2022-12,Ages 35-49,0.122,All
13028,2022-12,Ages 50-64,0.275,All
13032,2022-12,Ages 65+,0.889,All
13036,2022-12,Ages 16-24,0.401,All
13200,2023-03,Ages 25-34,0.128,All
13204,2023-03,Ages 35-49,0.12300000000000001,All
13208,2023-03,Ages 50-64,0.273,All
13212,2023-03,Ages 65+,0.887,All
13216,2023-03,Ages 16-24,0.401,All
